Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
49,Mark Vlasic,27,SDG,QB,6,1,0-1-0,19,40,47.5,168,1,2.5,2,5.0,27,4.2,2.45,8.8,28.0,46.7,0,0,0.00,4.20,2.45,0,0,,VlasMa00
50,Andre Ware,22,DET,QB,4,1,0-1-0,13,30,43.3,164,1,3.3,2,6.7,33,5.5,3.13,12.6,41.0,44.3,4,22,11.76,4.18,2.12,0,0,,WareAn00
51,Rick Strom,25,PIT,QB,6,0,,14,21,66.7,162,0,0.0,1,4.8,22,7.7,5.57,11.6,27.0,69.9,5,29,19.23,5.12,3.38,0,0,,StroRi00
52,Tony Eason,31,NYJ,QB,16,0,,13,28,46.4,155,0,0.0,1,3.6,31,5.5,3.93,11.9,9.7,49.0,4,35,12.50,3.75,2.34,0,0,,EasoTo00
53,Gary Kubiak,29,DEN,QB,16,0,,11,22,50.0,145,0,0.0,4,18.2,36,6.6,-1.59,13.2,9.1,31.6,3,19,12.00,5.04,-2.16,0,0,,KubiGa00
54,Erik Wilhelm,25,CIN,QB,7,0,,12,19,63.2,117,0,0.0,0,0.0,19,6.2,6.16,9.8,16.7,80.4,1,2,5.00,5.75,5.75,0,0,,WilhEr00
55,Gale Gilbert,29,BUF,QB,1,0,,8,15,53.3,106,2,13.3,2,13.3,23,7.1,3.73,13.3,106.0,76.0,1,9,6.25,6.06,2.94,0,0,,GilbGa00
56,Peter Tom Willis,23,CHI,QB,3,0,,9,13,69.2,106,1,7.7,1,7.7,18,8.2,6.23,11.8,35.3,87.3,1,7,7.14,7.07,5.29,0,0,,WillPe00
57,John Friesz,23,SDG,QB,1,1,0-1-0,11,22,50.0,98,1,4.5,1,4.5,17,4.5,3.32,8.9,98.0,58.5,1,7,4.35,3.96,2.87,0,0,,FrieJo00
58,Jim McMahon,31,PHI,QB,5,0,,6,9,66.7,63,0,0.0,0,0.0,21,7.0,7.00,10.5,12.6,86.8,1,7,10.00,5.60,5.60,0,0,,McMaJi00
59,Keith Byars,27,PHI,RB,16,15,,4,4,100.0,53,4,100.0,0,0.0,18,13.3,33.25,13.3,3.3,158.3,0,0,0.00,13.25,33.25,0,0,,ByarKe00
60,Troy Taylor,22,NYJ,QB,2,0,,7,10,70.0,49,1,10.0,0,0.0,15,4.9,6.90,7.0,24.5,114.2,2,3,16.67,3.83,5.50,0,0,,TaylTr00
61,Brian Mitchell,22,WAS,RB,15,0,,3,6,50.0,40,0,0.0,0,0.0,18,6.7,6.67,13.3,2.7,71.5,1,3,14.29,5.29,5.29,0,0,,MitcBr00
62,Rohn Stark,31,IND,P,16,0,,1,1,100.0,40,0,0.0,0,0.0,40,40.0,40.00,40.0,2.5,118.7,0,0,0.00,40.00,40.00,0,0,PBAP-2,StarRo20
63,Keith Jones,24,ATL,FB,15,10,,1,1,100.0,37,0,0.0,0,0.0,37,37.0,37.00,37.0,2.5,118.7,0,0,0.00,37.00,37.00,0,0,,JoneKe01
64,Vince Evans,35,RAI,QB,5,0,,1,1,100.0,36,0,0.0,0,0.0,36,36.0,36.00,36.0,7.2,118.7,0,0,0.00,36.00,36.00,0,0,,EvanVi00
65,Earnest Byner,28,WAS,RB,16,16,,1,2,50.0,31,1,50.0,0,0.0,31,15.5,25.50,31.0,1.9,135.4,0,0,0.00,15.50,25.50,0,0,PB,ByneEa00
66,Jim Jensen,32,MIA,WR,15,2,,1,1,100.0,31,0,0.0,0,0.0,31,31.0,31.00,31.0,2.1,118.7,0,0,0.00,31.00,31.00,0,0,,JensJi00
67,Jeff Francis,24,CLE,QB,1,0,,2,2,100.0,26,0,0.0,0,0.0,17,13.0,13.00,13.0,26.0,118.7,0,0,0.00,13.00,13.00,0,0,,FranJe20
68,Buford McGee,30,RAM,FB,16,15,,2,2,100.0,23,1,50.0,0,0.0,22,11.5,21.50,11.5,1.4,154.2,0,0,0.00,11.50,21.50,0,0,,McGeBu00
69,Johnny Bailey,23,CHI,RB,16,1,,1,1,100.0,22,0,0.0,0,0.0,22,22.0,22.00,22.0,1.4,118.7,0,0,0.00,22.00,22.00,0,0,,BailJo00
70,Joe Ferguson,40,IND,QB,1,0,,2,8,25.0,21,0,0.0,2,25.0,13,2.6,-8.63,10.5,21.0,0.0,0,0,0.00,2.63,-8.63,0,0,,FergJo00
71,Roy Green,33,PHO,WR,16,16,,1,1,100.0,20,0,0.0,0,0.0,20,20.0,20.00,20.0,1.3,118.7,0,0,0.00,20.00,20.00,0,0,,GreeRo01
72,Scott Secules,26,MIA,QB,16,0,,3,7,42.9,17,0,0.0,1,14.3,8,2.4,-4.00,5.7,1.1,10.7,1,9,12.50,1.00,-4.63,0,0,,SecuSc00
73,Steve Pelluer,28,KAN,QB,13,0,,2,5,40.0,14,0,0.0,1,20.0,11,2.8,-6.20,7.0,1.1,8.3,0,0,0.00,2.80,-6.20,0,0,,PellSt00
74,Herschel Walker,28,MIN,RB,16,16,,1,2,50.0,12,0,0.0,0,0.0,12,6.0,6.00,12.0,0.8,68.7,0,0,0.00,6.00,6.00,0,0,,WalkHe00
75,Mark Herrmann,31,IND,QB,3,0,,1,1,100.0,6,0,0.0,0,0.0,6,6.0,6.00,6.0,2.0,91.7,0,0,0.00,6.00,6.00,0,0,,HerrMa00
76,Lee Johnson,29,CIN,P,16,0,,1,1,100.0,4,1,100.0,0,0.0,4,4.0,24.00,4.0,0.3,122.9,0,0,0.00,4.00,24.00,0,0,,johnslee01
77,Chuck Long,27,RAM,QB,4,0,,1,5,20.0,4,0,0.0,0,0.0,4,0.8,0.80,4.0,1.0,39.6,0,0,0.00,0.80,0.80,0,0,,LongCh00
78,Tommy Kramer,35,NOR,QB,1,0,,1,3,33.3,2,0,0.0,1,33.3,2,0.7,-14.33,2.0,2.0,2.8,2,11,40.00,-1.80,-10.80,0,0,,KramTo00
79,Marcus Allen,30,RAI,RB,16,15,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,AlleMa00
80,Jeff Feagles,24,PHI,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,FeagJe20
81,Barry Helton,25,SFO,P,16,0,,1,1,100.0,0,0,0.0,0,0.0,,0.0,0.00,0.0,0.0,79.2,0,0,0.00,0.00,0.00,0,0,,HeltBa20
82,Craig Heyward,24,NOR,FB,16,15,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,HeywCr00
83,Bobby Humphrey,24,DEN,RB,15,14,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,HumpBo00
84,Lynn James,25,CIN,WR,11,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JameLy00
85,Johnny Johnson,22,PHO,RB,14,14,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,PBAP ORoY-2,JohnJo00
86,Todd Philcox,24,CIN,QB,2,0,,0,2,0.0,0,0,0.0,1,50.0,,0.0,-22.50,,0.0,0.0,2,9,50.00,-2.25,-13.50,0,0,,PhilTo00
87,Steve Sewell,27,DEN,FB,12,1,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,SeweSt00
88,Don Smith,27,BUF,RB,16,2,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,SmitDo00
89,John Stephens,24,NWE,RB,16,14,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,StepJo00
90,Al Toon,27,NYJ,WR,14,12,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ToonAl00
,League Average,,,,,,,,,56.0,,,4.3,,3.6,,7.0,6.26,12.5,93.2,77.3,,,7.32,5.98,5.29,,,,-9999
